Area,Item,Element,Unit,Amount
Albania,Food Household Consumption,Emissions (CO2),kilotonnes,135.4983
Albania,Food Household Consumption,Emissions (CO2eq) from CH4 (AR5),kilotonnes,39.3372
Albania,Food Household Consumption,Emissions (CO2eq) from N2O (AR5),kilotonnes,1.9702
Albania,Food Household Consumption,Emissions (CO2eq) (AR5),kilotonnes,176.8057
Albania,Food Transport,Emissions (CH4),kilotonnes,0.0214
Albania,Food Transport,Emissions (N2O),kilotonnes,0.0079
Albania,Food Transport,Emissions (CO2),kilotonnes,301.2686
Albania,Food Transport,Emissions (CO2eq) from CH4 (AR5),kilotonnes,0.5992
Albania,Food Transport,Emissions (CO2eq) from N2O (AR5),kilotonnes,2.0998
Albania,Food Transport,Emissions (CO2eq) (AR5),kilotonnes,303.9677
Albania,Energy,Emissions (CH4),kilotonnes,11
Albania,Energy,Emissions (N2O),kilotonnes,0.135
Albania,Energy,Emissions (CO2),kilotonnes,4090
Albania,Energy,Emissions (CO2eq) from CH4 (AR5),kilotonnes,308
Albania,Energy,Emissions (CO2eq) from N2O (AR5),kilotonnes,35.775
Albania,Energy,Emissions (CO2eq) (AR5),kilotonnes,4433.775
Albania,IPPU,Emissions (CH4),kilotonnes,0.0453
Albania,IPPU,Emissions (N2O),kilotonnes,0.0315
Albania,IPPU,Emissions (CO2),kilotonnes,1180
Albania,IPPU,Emissions (CO2eq) from F-gases (AR5),kilotonnes,197.2662
Albania,IPPU,Emissions (CO2eq) from CH4 (AR5),kilotonnes,1.2684
Albania,IPPU,Emissions (CO2eq) from N2O (AR5),kilotonnes,8.3475
Albania,IPPU,Emissions (CO2eq) (AR5),kilotonnes,1386.8821
Albania,Waste,Emissions (CH4),kilotonnes,17.6
Albania,Waste,Emissions (N2O),kilotonnes,0.22
Albania,Waste,Emissions (CO2),kilotonnes,2.85
Albania,Waste,Emissions (CO2eq) from CH4 (AR5),kilotonnes,492.8
Albania,Waste,Emissions (CO2eq) from N2O (AR5),kilotonnes,58.3
Albania,Waste,Emissions (CO2eq) (AR5),kilotonnes,553.95
Albania,Other,Emissions (CH4),kilotonnes,0
Albania,Other,Emissions (N2O),kilotonnes,0.125
Albania,Other,Emissions (CO2),kilotonnes,0
